"FetchDate","Team","Jersey","Name","Position","Height","Weight","URL"
"2019-12-01 00:00:00","Atlanta Hawks","95","DeAndre' Bembry","Guard-Forward","6 ft 5 in","210 lbs","https://www.nba.com/players/deandre'/bembry/1627761"
"2019-12-01 00:00:00","Atlanta Hawks","4","Charles Brown Jr.","Guard","6 ft 6 in","199 lbs","https://www.nba.com/players/charles/brown_jr./1629718"
"2019-12-01 00:00:00","Atlanta Hawks","15","Vince Carter","Guard-Forward","6 ft 6 in","220 lbs","https://www.nba.com/players/vince/carter/1713"
"2019-12-01 00:00:00","Atlanta Hawks","20","John Collins","Forward","6 ft 9 in","235 lbs","https://www.nba.com/players/john/collins/1628381"
"2019-12-01 00:00:00","Atlanta Hawks","33","Allen Crabbe","Guard-Forward","6 ft 5 in","212 lbs","https://www.nba.com/players/allen/crabbe/203459"
"2019-12-01 00:00:00","Atlanta Hawks","24","Bruno Fernando","Forward-Center","6 ft 9 in","240 lbs","https://www.nba.com/players/bruno/fernando/1628981"
"2019-12-01 00:00:00","Atlanta Hawks","0","Brandon Goodwin","Guard","6 ft 0 in","180 lbs","https://www.nba.com/players/brandon/goodwin/1629164"
"2019-12-01 00:00:00","Atlanta Hawks","3","Kevin Huerter","Guard-Forward","6 ft 7 in","190 lbs","https://www.nba.com/players/kevin/huerter/1628989"
"2019-12-01 00:00:00","Atlanta Hawks","12","De'Andre Hunter","Forward-Guard","6 ft 7 in","225 lbs","https://www.nba.com/players/de'andre/hunter/1629631"
"2019-12-01 00:00:00","Atlanta Hawks","30","Damian Jones","Center","6 ft 11 in","245 lbs","https://www.nba.com/players/damian/jones/1627745"
"2019-12-01 00:00:00","Atlanta Hawks","25","Alex Len","Center","7 ft 0 in","250 lbs","https://www.nba.com/players/alex/len/203458"
"2019-12-01 00:00:00","Atlanta Hawks","5","Jabari Parker","Forward","6 ft 8 in","245 lbs","https://www.nba.com/players/jabari/parker/203953"
"2019-12-01 00:00:00","Atlanta Hawks","31","Chandler Parsons","Forward","6 ft 9 in","230 lbs","https://www.nba.com/players/chandler/parsons/202718"
